#|seed
£|6
#|MoveX|MoveY|CamX|CamY|ButtonKeyCodes
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|-0.05|0
0|0|-0.15|0
0|0|-0.2|0
0|0|-0.1|0
0|0|-0.4|0
0|0|-0.2|0
0|0|-0.4|0
0|0|-0.3|0
0|0|-0.25|0
0|0|-0.55|0
0|0|-0.3|0
0|0|-0.65|0
0|0|-0.35|0
0|0|-0.65|0
0|0|-0.35|0
0|0|-0.8|0
0|0|-0.35|0
0|0|-0.8|0
0|0|-0.4|0
0|0|-0.65|0
0|0|-0.35|0
0|0|-0.75|0
0|0|-0.35|0
0|0|-0.7|0
0|0|-0.3|0
0|0|-0.35|0
0|0|-0.55|0
0|0|-0.3|0
0|0|-0.45|0
0|0|-0.2|0
0|0|-0.35|0
0|0|-0.15|0
0|0|-0.25|0
0|0|-0.1|0
0|0|-0.1|0
0|0|-0.15|0
0|0|-0.05|0
0|0|-0.1|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0|0
0|0|0.05|0
0|0|0.05|0
0|0|0.15|0
0|0|0.1|0
0|0|0.15|0
0|0|0.1|0
0|0|0.1|0
0|0|0.1|0
0|0|0.1|0
0|0|0.1|0
0|0|0.05|0
0|0|0.05|0
0|0|0.1|0
0|0|0.1|0
0|0|0.15|0
0|0|0.1|0
0|0|0.1|0
0|0|0.15|0
0|0|0.05|0
0|0|0.2|0
0|0|0.05|0
0|0|0.15|0
0|0|0.1|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.15|0
0|0|0.1|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.1|0
0|0|0.15|0
0|0|0.05|0
0|0|0.15|0
0|0|0.1|0
0|0|0.15|0
0|0|0.1|0
0|0|0.05|0
0|0|0.15|0
0|0|0.05|0
0|0|0.2|0
0|0|0.1|0
0|0|0.2|0
